fecha,temp_max,temp_min,temp_prom,precipitaciones
2020-01-01,22.5,8.1,15.3,45.2
2020-02-01,21.8,7.9,14.8,38.1
2020-03-01,19.2,6.4,12.8,55.0
2020-04-01,14.5,3.2,8.8,62.4
2020-05-01,10.1,1.0,5.5,78.9
2020-06-01,6.8,-1.5,2.6,90.1
2020-07-01,6.2,-2.1,2.0,85.4
2020-08-01,8.5,-0.8,3.8,70.2
2020-09-01,12.1,1.5,6.8,50.5
2020-10-01,15.9,4.2,10.0,42.1
2020-11-01,18.8,6.1,12.4,35.7
2020-12-01,21.4,7.5,14.5,29.8
2021-01-01,23.1,8.9,16.0,40.0
2021-02-01,22.0,8.2,15.1,33.4
2021-03-01,19.8,6.8,13.3,48.2
2021-04-01,15.0,3.9,9.4,58.0
2021-05-01,10.9,1.5,6.2,70.1
2021-06-01,7.2,-1.0,3.1,82.4
2021-07-01,6.9,-1.8,2.5,79.0
2021-08-01,9.1,-0.3,4.4,66.1
2021-09-01,12.8,2.1,7.4,46.0
2021-10-01,16.5,4.9,10.7,39.5
2021-11-01,19.5,6.8,13.1,31.2
2021-12-01,22.1,8.0,15.0,26.4
2022-01-01,24.2,9.8,17.0,35.1
2022-02-01,23.1,9.1,16.1,29.0
2022-03-01,20.5,7.4,13.9,42.7
2022-04-01,15.8,4.5,10.1,51.3
2022-05-01,11.5,2.1,6.8,65.0
2022-06-01,7.9,-0.5,3.7,75.2
2022-07-01,7.3,-1.2,3.0,72.1
2022-08-01,9.8,0.2,5.0,60.4
2022-09-01,13.5,2.8,8.1,41.0
2022-10-01,17.2,5.5,11.3,35.6
2022-11-01,20.4,7.4,13.9,28.0
2022-12-01,23.0,8.8,15.9,22.1
2023-01-01,25.1,10.5,17.8,30.4
2023-02-01,24.0,9.7,16.8,25.3
2023-03-01,21.2,8.1,14.6,38.0
2023-04-01,16.4,5.1,10.7,46.2
2023-05-01,12.1,2.8,7.4,58.9
2023-06-01,8.4,0.1,4.2,68.4
2023-07-01,7.8,-0.6,3.6,65.0
2023-08-01,10.4,0.9,5.6,53.2
2023-09-01,14.2,3.5,8.8,36.5
2023-10-01,18.0,6.2,12.1,30.1
2023-11-01,21.2,8.1,14.6,24.2
2023-12-01,23.9,9.5,16.7,19.8
